Metric,benchmark,Strategy
Risk-Free Rate,0.17%,0.17%
Time in Market,72.0%,44.0%
,,
Total Return,-7.49%,-2.57%
CAGR% (Annual Return),-66.48%,-30.60%
,,
Sharpe,-6.16,-4.71
RoMaD,-7.16,-11.16
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,7.32%,7.18%
Smart Sharpe,-4.67,-3.57
Sortino,-7.14,-5.05
Smart Sortino,-5.42,-3.83
Sortino/√2,-5.05,-3.57
Smart Sortino/√2,-3.83,-2.71
Omega,0.36,0.36
,,
Max Drawdown,-9.73%,-2.86%
Longest DD Days,24,23
Volatility (ann.),18.19%,7.82%
R^2,0.01,0.01
Information Ratio,0.2,0.2
Calmar,-7.16,-11.16
Skew,0.5,-1.36
Kurtosis,2.11,2.19
,,
Expected Daily%,-0.31%,-0.1%
Expected Monthly%,-7.49%,-2.5%
Expected Yearly%,-7.49%,-2.5%
Daily Value-at-Risk,-1.87%,-0.77%
Expected Shortfall (cVaR),-1.87%,-0.77%
,,
MTD,-7.49%,-2.5%
3M,-7.49%,-2.5%
6M,-7.49%,-2.5%
YTD,-7.49%,-2.5%
1Y,-7.49%,-2.5%
3Y (ann.),-69.4%,-31.96%
5Y (ann.),-69.4%,-31.96%
10Y (ann.),-69.4%,-31.96%
All-time (ann.),-69.4%,-31.96%
,,
Best Day,2.48%,0.68%
Worst Day,-1.96%,-1.16%
Best Month,-7.49%,-2.5%
Worst 1-Month Return,-7.49%,-2.5%
Best Year,-7.49%,-2.5%
Worst Year,-7.49%,-2.5%
,,
Avg. Drawdown,-9.7%,-2.86%
Avg. Drawdown Days,24,23
Recovery Factor,0.79,0.88
Ulcer Index,0.06,0.02
Serenity Index,-0.14,-0.16
Annualized Return on Risk Capital,-1127.02%,-1273.75%
Worst 3-Month Return,-,-
Time to Recovery (Days),1.0,9.0
5th Percentile Tail Loss,-1.89%,-0.99%
Time Underwater (Days),24.0,23.0
Percent Positive Months,0.0,0.0
,,
Avg. Up Month,-,-
Avg. Down Month,-7.49%,-2.5%
Win Days,6.94,13.64
Loss Days,18.06,11.36
Win Days%,27.78%,54.55%
Win Month%,0.0%,0.0%
Win Quarter%,0.0%,0.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.04
Alpha,-,-0.33
Correlation,-,8.24%
Treynor Ratio,-,-75.5%
