datetime,portfolio_value,cash,cash_deposits_total,cash_withdrawals_total,cash_adjustments_net_total,cash_financing_enabled,cash_financing_account_mode,cash_financing_credit_total,cash_financing_debit_total,cash_financing_net_total,cash_financing_days_accrued,cash_financing_events,cash_financing_last_credit_rate_used,cash_financing_last_debit_rate_used,positions,cash_deposits_period,cash_withdrawals_period,cash_adjustments_net_period,cash_financing_credit_period,cash_financing_debit_period,cash_financing_net_period,return,cash_adjusted_portfolio_value
2024-01-02 08:30:00-05:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,,100000.0
2024-01-02 09:30:00-05:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2024-01-02 09:30:00-05:00,100000.0,100000.0,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2024-01-02 16:00:00-05:00,100450.31860351562,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.00450318603515625,100450.31860351562
2024-01-03 08:30:00-05:00,100000.0,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.004482998259996205,100000.0
2024-01-03 09:30:00-05:00,100000.0,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2024-01-03 09:30:00-05:00,100000.0,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2024-01-03 16:00:00-05:00,100000.0,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2024-01-04 08:30:00-05:00,99820.07885742188,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.00179921142578125,99820.07885742188
2024-01-04 09:30:00-05:00,99820.07885742188,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99820.07885742188
2024-01-04 09:30:00-05:00,99820.07885742188,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99820.07885742188
2024-01-04 16:00:00-05:00,99820.07885742188,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99820.07885742188
2024-01-05 08:30:00-05:00,99598.55834960938,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.0022191978843145283,99598.55834960938
2024-01-05 09:30:00-05:00,99598.55834960938,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99598.55834960938
2024-01-05 09:30:00-05:00,99598.55834960938,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99598.55834960938
2024-01-05 16:00:00-05:00,99598.55834960938,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99598.55834960938
2024-01-08 08:30:00-05:00,99514.31860351562,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,-0.0008457928256155365,99514.31860351562
2024-01-08 09:30:00-05:00,99514.31860351562,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99514.31860351562
2024-01-08 09:30:00-05:00,99514.31860351562,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99514.31860351562
2024-01-08 16:00:00-05:00,99514.31860351562,50895.359619140625,0.0,0.0,0.0,False,margin,0.0,0.0,0.0,0,0,,,"[{'asset': {'symbol': 'SPY', 'type': 'stock'}, 'quantity': 104.0}]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,99514.31860351562
